Coo_tpi,Coo_app,Roo_outward,productCode,reporter,FtaScope,Roo_packaging,Roo_fungible,FtaCode,Roo_exhibitions,Roo_wo,FtaName,Coo_valid,Coo_comp,Roo_indir,RooCode_1,Coo_exmptcoo,RooText_1,Roo_demin,Coo_pen,FtaId,RooCode_0,Coo_err,Roo_rvcformula,Coo_ver,Roo_accum,Coo_refund,Preferential,RooText_0,FtaType,partner,Roo_trans,Coo_coo,Coo_retention,FtaStatusDate,rank,Roo_sets,MFN,Roo_mo,Roo_draw,Coo_sup,Roo_roll,Roo_accessories,Roo_terr,Coo_adv,ProductAffected_0,Coo_approved,ProductAffected_1,FtaStatusDesc
provided,provided,not included,8703900000,704,"Plurilateral, Country-Group",included,materials only,ITC00203,included,provided,"FTA, ASEAN-China",1 year (for single shipment),not provided,included,,included (less than US$200),,included (10%),not provided,197,RVC 40%,provided,build down,Indirect,diagonal,within 12 months,,"A good shall be treated as an originating good if the good has a regional value content of not less than 40 per cent of FOB calculated using the formula as described in Article 5 of this ANNEX, and the final process of production is performed within a Party",Free trade agreement,156,included,authorized body,3 years,01.07.2005,2,not included,,provided,allowed,provided,included,included,not included,provided,,included,,IN FORCE
not provided,not provided,not included,8703900000,410,"Plurilateral, Country-Country",included,not included,ITC00069,included,provided,APTA (formerly Bangkok Agreement),1 year,provided,not included,,not included,,not included,not provided,68,RVC 45% (35% for APTA LDCs),provided,import content,Indirect,diagonal,not included,,"(a) Within the meaning of Rule 1(b), products worked on or processed as a result of which the total value of the materials, parts or produce originating from nonParticipating States or of undetermined origin used does not exceed 55 per cent of the f.o.b. value of the products produced or obtained and the final process of manufacture is performed within the territory of the exporting Participating State shall be eligible for preferential concessions, subject to the provisions of Rule 3(c), (d) and (e). RULE 10: Special criteria percentage Products originating in least developed Participating States can be allowed a favorable 10 percentage points applied to the percentages established in Rules 3 and 4. Thus, for Rule 3, the percentage would not exceed 65 percent, and for Rule 4, the percentage would not be less than 50 percent.",Partial scope agreement,496,included,authorized body,2 years,01.01.2021,4,not included,,provided,not included,provided,not included,not included,not included,not provided,,not included,,IN FORCE
,,,8703900000,702,,,,,,,,,,,,,,,,94,,,,,,,,,,410,,,,,3,,,,,,,,,,,,,
,,,8703900000,764,,,,,,,,,,,,,,,,94,,,,,,,,,,458,,,,,2,,,,,,,,,,,,,
,,,8703900000,764,,,,,,,,,,,,,,,,199,,,,,,,,,,116,,,,,2,,,,,,,,,,,,,
not provided,not provided,included,8703900000,076,"Plurilateral, Country-Group",included,materials only,ITC00048,not included,provided,AAP.CE 55: MERCOSUR-Mexico,180 days,not provided,included,,not included,,included,provided,48,"RVC 60% (for Argentina, Brazil), RVC 50% (for Uruguay), RVC 30% (for Mexico)",not provided,included,Indirect,diagonal,within 30 days,,"2 Salvo por lo dispuesto en el párrafo 5 de este Artículo, un producto automotor contenido en los literales a) al d) del Artículo 3° del Acuerdo será considerado como originario si, como resultado de un proceso de producción realizado enteramente en el territorio de Argentina o Brasil el ICR es al menos de 60 por ciento, en el caso de Uruguay es al menos de 50 por ciento o en el caso de México, es al menos de: Año 2002 20% 2003 20% 2004 25% 2005 27% 2006 en adelante 30%",Partial scope agreement,484,included,authorized body,5 years,01.01.2003,2,included (RVC 93%),,not provided,not included,not provided,included,included,included,not provided,,not included,,IN FORCE
,,,8703900000,826,,,,,,,,,,,,,,,,1044,,,,,,,,,,392,,,,,3,,,,,,,,,,,,,
,,,8703900000,458,,,,,,,,,,,,,,,,139,,,,,,,,,,116,,,,,4,,,,,,,,,,,,,
,,,8703900000,360,,,,,,,,,,,,,,,,139,,,,,,,,,,096,,,,,3,,,,,,,,,,,,,
,,,8703900000,418,,,,,,,,,,,,,,,,197,,,,,,,,,,096,,,,,1,,,,,,,,,,,,,
,,,8703900000,862,,,,,,,,,,,,,,,,633,,,,,,,,,,076,,,,,1,,,,,,,,,,,,,
,,,8703900000,702,,,,,,,,,,,,,,,,852,,,,,,,,,,124,,,,,2,,,,,,,,,,,,,
,,,8703900000,579,,,,,,,,,,,,,,,,337,,,,,,,,,,410,,,,,2,,,,,,,,,,,,,
,,,8703900000,418,,,,,,,,,,,,,,,,94,,,,,,,,,,116,,,,,2,,,,,,,,,,,,,
,,,8703900000,608,,,,,,,,,,,,,,,,139,,,,,,,,,,104,,,,,3,,,,,,,,,,,,,
,,,8703900000,104,,,,,,,,,,,,,,,,197,,,,,,,,,,096,,,,,2,,,,,,,,,,,,,
,,,8703900000,862,,,,,,,,,,,,,,,,633,,,,,,,,,,192,,,,,1,,,,,,,,,,,,,
,,,8703900000,764,,,,,,,,,,,,,,,,139,,,,,,,,,,116,,,,,4,,,,,,,,,,,,,
,,,8703900000,757,,,,,,,,,,,,,,,,342,,,,,,,,,,438,,,,,1,,,,,,,,,,,,,
,,,8703900000,458,,,,,,,,,,,,,,,,199,,,,,,,,,,116,,,,,2,,,,,,,,,,,,,
,,,8703900000,392,,,,,,,,,,,,,,,,139,,,,,,,,,,360,,,,,1,,,,,,,,,,,,,
not provided,provided,not included,8703900000,842,"Plurilateral, Country-Country",included,materials & final goods,ITC00671,not included,,"Regional group, NAFTA",4 years (for multiple shipments),not provided,included,,included (less than US$1000),,included (7%),provided,653,CTH and RVC 62.5%,not provided,build down / net cost,Direct,diagonal and full,within 1 year,,"A change to subheading 8703.21 through 8703.90 from any other heading, provided there is a regional value content of not less than 62.5 percent under the net cost method.",Free trade agreement,484,included,self-certification,5 years,12.08.1992,2,not included,,,prohibition,,included,included,included,within 90 days,,not included,,IN NEGOTIATION
